price,rent,Apartement
16500.0,rent,store
45000.0,rent,store
16500.0,rent,store
6500.0,rent,apartment
9200.0,rent,apartment
5800.0,rent,apartment
700.0,rent,apartment
8000.0,rent,apartment
5500.0,rent,apartment
33000.0,rent,store
150000.0,rent,store
4500.0,rent,store
15000.0,rent,store
8800.0,rent,store
6000.0,rent,apartment
13000.0,rent,store
5900.0,rent,apartment
4200.0,rent,apartment
75000.0,rent,store
12000.0,rent,apartment
17000.0,rent,store
20000.0,rent,store
4500.0,rent,apartment
40000.0,rent,store
12000.0,rent,store
7000.0,rent,apartment
8500.0,rent,store
3800.0,rent,apartment
6750.0,rent,apartment
3800.0,rent,apartment
44000.0,rent,store
5000.0,rent,apartment
30000.0,rent,store
12000.0,rent,apartment
120000.0,rent,store
23000.0,rent,store
20000.0,rent,house
29000.0,rent,store
4000.0,rent,apartment
4000.0,rent,apartment
65000.0,rent,store
3000.0,rent,store
5600.0,rent,apartment
3000.0,rent,store
21000.0,rent,store
2500.0,rent,store
6500.0,rent,house
6000.0,rent,PH
2500.0,rent,apartment
19000.0,rent,house
6500.0,rent,house
17000.0,rent,house
6500.0,rent,house
6500.0,rent,house
10000.0,rent,store
12000.0,rent,store
20000.0,rent,store
50000.0,rent,store
7500.0,rent,house
3000.0,rent,store
2800.0,rent,store
8500.0,rent,store
6000.0,rent,store
1700.0,rent,apartment
12000.0,rent,store
4500.0,rent,store
3800.0,rent,apartment
5900.0,rent,apartment
25000.0,rent,store
12000.0,rent,apartment
28000.0,rent,store
100000.0,rent,store
25000.0,rent,apartment
3800.0,rent,apartment
1600.0,rent,apartment
20000.0,rent,apartment
18000.0,rent,apartment
24000.0,rent,apartment
27000.0,rent,apartment
75000.0,rent,apartment
120000.0,rent,store
38000.0,rent,store
20000.0,rent,apartment
16500.0,rent,apartment
5300.0,rent,apartment
22000.0,rent,apartment
35000.0,rent,apartment
25000.0,rent,apartment
4700.0,rent,apartment
28000.0,rent,store
1600.0,rent,apartment
4100.0,rent,store
60000.0,rent,store
18000.0,rent,store
12000.0,rent,store
3500.0,rent,store
20000.0,rent,store
41000.0,rent,apartment
17000.0,rent,store
4500.0,rent,apartment
16500.0,rent,apartment
14000.0,rent,apartment
20000.0,rent,house
4500.0,rent,PH
3900.0,rent,apartment
3800.0,rent,apartment
3900.0,rent,apartment
4300.0,rent,apartment
3000.0,rent,apartment
5000.0,rent,apartment
